#
# wood
#

Acacia Door                              :ACACIA_DOOR
Chorus Plant                             :CHORUS_PLANT
Chorus Flower                            :CHORUS_FLOWER
Chorus Fruit                             :CHORUS_FRUIT
Popped Chorus Fruit                      :POPPED_CHORUS_FRUIT
Cobweb                                   :COBWEB

Brain Coral                              :BRAIN_CORAL
Brain Coral Block                        :BRAIN_CORAL_BLOCK
Brain Coral Fan                          :BRAIN_CORAL_FAN
Brain Coral Fan                          :BRAIN_CORAL_WALL_FAN
Dead Brain Coral                         :DEAD_BRAIN_CORAL
Dead Brain Coral Block                   :DEAD_BRAIN_CORAL_BLOCK
Dead Brain Coral Fan                     :DEAD_BRAIN_CORAL_FAN
Dead Brain Coral Fan                     :DEAD_BRAIN_CORAL_WALL_FAN
Bubble Coral                             :BUBBLE_CORAL
Bubble Coral Block                       :BUBBLE_CORAL_BLOCK
Bubble Coral Fan                         :BUBBLE_CORAL_FAN
Bubble Coral Fan                         :BUBBLE_CORAL_WALL_FAN
Dead Bubble Coral                        :DEAD_BUBBLE_CORAL
Dead Bubble Coral Block                  :DEAD_BUBBLE_CORAL_BLOCK
Dead Bubble Coral Fan                    :DEAD_BUBBLE_CORAL_FAN
Dead Bubble Coral Fan                    :DEAD_BUBBLE_CORAL_WALL_FAN
Fire Coral                               :FIRE_CORAL
Fire Coral Block                         :FIRE_CORAL_BLOCK
Fire Coral Fan                           :FIRE_CORAL_FAN
Fire Coral Fan                           :FIRE_CORAL_WALL_FAN
Dead Fire Coral                          :DEAD_FIRE_CORAL
Dead Fire Coral Block                    :DEAD_FIRE_CORAL_BLOCK
Dead Fire Coral Fan                      :DEAD_FIRE_CORAL_FAN
Dead Fire Coral Fan                      :DEAD_FIRE_CORAL_WALL_FAN
Horn Coral                               :HORN_CORAL
Horn Coral Block                         :HORN_CORAL_BLOCK
Horn Coral Fan                           :HORN_CORAL_FAN
Horn Coral Fan                           :HORN_CORAL_WALL_FAN
Dead Horn Coral                          :DEAD_HORN_CORAL
Dead Horn Coral Block                    :DEAD_HORN_CORAL_BLOCK
Dead Horn Coral Fan                      :DEAD_HORN_CORAL_FAN
Dead Horn Coral Fan                      :DEAD_HORN_CORAL_WALL_FAN
Tube Coral                               :TUBE_CORAL
Tube Coral Block                         :TUBE_CORAL_BLOCK
Tube Coral Fan                           :TUBE_CORAL_FAN
Tube Coral Fan                           :TUBE_CORAL_WALL_FAN
Dead Tube Coral                          :DEAD_TUBE_CORAL
Dead Tube Coral Block                    :DEAD_TUBE_CORAL_BLOCK
Dead Tube Coral Fan                      :DEAD_TUBE_CORAL_FAN
Dead Tube Coral Fan                      :DEAD_TUBE_CORAL_WALL_FAN

Dead Bush                                :DEAD_BUSH
Dried Ghast                              :DRIED_GHAST
Small Dripleaf                           :SMALL_DRIPLEAF
Big Dripleaf                             :BIG_DRIPLEAF
Big Dripleaf                             :BIG_DRIPLEAF_STEM
Ender Pearl                              :ENDER_PEARL
Eye Of Ender                             :ENDER_EYE
Feather                                  :FEATHER
Fermented Spider Eye                     :FERMENTED_SPIDER_EYE
Fern                                     :FERN
Large Fern                               :LARGE_FERN
Fire Charge                              :FIRE_CHARGE
Cooked Cod                               :COOKED_COD
Raw Cod                                  :COD
Pufferfish                               :PUFFERFISH
Cooked Salmon                            :COOKED_SALMON
Raw Salmon                               :SALMON
Tropical Fish                            :TROPICAL_FISH
Bucket Of Axolotl                        :AXOLOTL_BUCKET
Bucket Of Cod                            :COD_BUCKET
Bucket Of Pufferfish                     :PUFFERFISH_BUCKET
Bucket Of Salmon                         :SALMON_BUCKET
Bucket Of Tadpole                        :TADPOLE_BUCKET
Bucket Of Tropical Fish                  :TROPICAL_FISH_BUCKET

Allium                                   :ALLIUM
Azure Bluet                              :AZURE_BLUET
Blue Orchid                              :BLUE_ORCHID
Cornflower                               :CORNFLOWER
Dandelion                                :DANDELION
Open Eyeblossom                          :OPEN_EYEBLOSSOM
Closed Eyeblossom                        :CLOSED_EYEBLOSSOM
Lilac                                    :LILAC
Lily Of The Valley                       :LILY_OF_THE_VALLEY
Orange Tulip                             :ORANGE_TULIP
Oxeye Daisy                              :OXEYE_DAISY
Peony                                    :PEONY
Pink Petals                              :PINK_PETALS
Pink Tulip                               :PINK_TULIP
Pitcher Plant                            :PITCHER_PLANT
Pitcher Pod                              :PITCHER_POD
Pitcher Crop                             :PITCHER_CROP
Poppy                                    :POPPY
Red Tulip                                :RED_TULIP
Rose Bush                                :ROSE_BUSH
Sunflower                                :SUNFLOWER
Torchflower                              :TORCHFLOWER
Torchflower Seeds                        :TORCHFLOWER_SEEDS
Torchflower Crop                         :TORCHFLOWER_CROP
White Tulip                              :WHITE_TULIP
Wither Rose                              :WITHER_ROSE

Frogspawn                                :FROGSPAWN
Ghast Tear                               :GHAST_TEAR
Glow Ink Sac                             :GLOW_INK_SAC
Goat Horn                                :GOAT_HORN
Gunpowder                                :GUNPOWDER
Ink Sac                                  :INK_SAC

Bush                                     :BUSH
Cactus Flower                            :CACTUS_FLOWER
Firefly Bush                             :FIREFLY_BUSH
Glow Berries                             :GLOW_BERRIES
Glow Lichen                              :GLOW_LICHEN
Grass Block                              :GRASS_BLOCK
Hanging Roots                            :HANGING_ROOTS
Leaf Litter                              :LEAF_LITTER
Short Grass                              :SHORT_GRASS
Short Dry Grass                          :SHORT_DRY_GRASS
Tall Grass                               :TALL_GRASS
Tall Dry Grass                           :TALL_DRY_GRASS
Wildflowers                              :WILDFLOWERS

Kelp                                     :KELP
Kelp Plant                               :KELP_PLANT
Dried Kelp Block                         :DRIED_KELP_BLOCK
Dried Kelp                               :DRIED_KELP

Leather                                  :LEATHER
Lily Pad                                 :LILY_PAD
Magma Cream                              :MAGMA_CREAM
Nautilus Shell                           :NAUTILUS_SHELL
Nether Star                              :NETHER_STAR
Nether Sprouts                           :NETHER_SPROUTS
Nether Wart                              :NETHER_WART
Nether Wart Block                        :NETHER_WART_BLOCK
Phantom Membrane                         :PHANTOM_MEMBRANE
Rabbit Hide                              :RABBIT_HIDE
Rabbit's Foot                            :RABBIT_FOOT
Rotten Flesh                             :ROTTEN_FLESH
Turtle Scute                             :TURTLE_SCUTE
Armadillo Scute                          :ARMADILLO_SCUTE
Sea Pickle                               :SEA_PICKLE
Seagrass                                 :SEAGRASS
Tall Seagrass                            :TALL_SEAGRASS
Shulker Shell                            :SHULKER_SHELL
Skeleton Skull                           :SKELETON_SKULL
Skeleton Skull                           :SKELETON_WALL_SKULL
Slimeball                                :SLIME_BALL
Spider Eye                               :SPIDER_EYE
Spore Blossom                            :SPORE_BLOSSOM
Stick                                    :STICK
String                                   :STRING
Sugar                                    :SUGAR
Sugar Cane                               :SUGAR_CANE
Sweet Berries                            :SWEET_BERRIES
Sweet Berry Bush                         :SWEET_BERRY_BUSH
Turtle Egg                               :TURTLE_EGG
Turtle Shell                             :TURTLE_HELMET
Twisting Vines                           :TWISTING_VINES
Twisting Vines Plant                     :TWISTING_VINES_PLANT
Vines                                    :VINE
Cave Vines                               :CAVE_VINES
Cave Vines Plant                         :CAVE_VINES_PLANT
Weeping Vines                            :WEEPING_VINES
Weeping Vines Plant                      :WEEPING_VINES_PLANT
Pale Hanging Moss                        :PALE_HANGING_MOSS
Hay Bale                                 :HAY_BLOCK
Wheat                                    :WHEAT
Wheat Seeds                              :WHEAT_SEEDS
Wind Charge                              :WIND_CHARGE
Wither Skeleton Skull                    :WITHER_SKELETON_SKULL
Wither Skeleton Skull                    :WITHER_SKELETON_WALL_SKULL

#
# gems, ores, metals
#

Block Of Amethyst                        :AMETHYST_BLOCK
Amethyst Shard                           :AMETHYST_SHARD
Amethyst Cluster                         :AMETHYST_CLUSTER
Budding Amethyst                         :BUDDING_AMETHYST
Small Amethyst Bud                       :SMALL_AMETHYST_BUD
Medium Amethyst Bud                      :MEDIUM_AMETHYST_BUD
Large Amethyst Bud                       :LARGE_AMETHYST_BUD

Charcoal                                 :CHARCOAL
Coal                                     :COAL
Block Of Coal                            :COAL_BLOCK
Coal Ore                                 :COAL_ORE
Deepslate Coal Ore                       :DEEPSLATE_COAL_ORE

Copper Ingot                             :COPPER_INGOT
Block Of Raw Copper                      :RAW_COPPER_BLOCK
Raw Copper                               :RAW_COPPER
Copper Ore                               :COPPER_ORE
Deepslate Copper Ore                     :DEEPSLATE_COPPER_ORE
Block Of Copper                          :COPPER_BLOCK
Exposed Copper                           :EXPOSED_COPPER
Weathered Copper                         :WEATHERED_COPPER
Oxidized Copper                          :OXIDIZED_COPPER
Waxed Block Of Copper                    :WAXED_COPPER_BLOCK
Waxed Exposed Copper                     :WAXED_EXPOSED_COPPER
Waxed Weathered Copper                   :WAXED_WEATHERED_COPPER
Waxed Oxidized Copper                    :WAXED_OXIDIZED_COPPER
Copper Door                              :COPPER_DOOR
Exposed Copper Door                      :EXPOSED_COPPER_DOOR
Weathered Copper Door                    :WEATHERED_COPPER_DOOR
Oxidized Copper Door                     :OXIDIZED_COPPER_DOOR
Waxed Copper Door                        :WAXED_COPPER_DOOR
Waxed Exposed Copper Door                :WAXED_EXPOSED_COPPER_DOOR
Waxed Weathered Copper Door              :WAXED_WEATHERED_COPPER_DOOR
Waxed Oxidized Copper Door               :WAXED_OXIDIZED_COPPER_DOOR
Copper Trapdoor                          :COPPER_TRAPDOOR
Exposed Copper Trapdoor                  :EXPOSED_COPPER_TRAPDOOR
Weathered Copper Trapdoor                :WEATHERED_COPPER_TRAPDOOR
Oxidized Copper Trapdoor                 :OXIDIZED_COPPER_TRAPDOOR
Waxed Copper Trapdoor                    :WAXED_COPPER_TRAPDOOR
Waxed Exposed Copper Trapdoor            :WAXED_EXPOSED_COPPER_TRAPDOOR
Waxed Weathered Copper Trapdoor          :WAXED_WEATHERED_COPPER_TRAPDOOR
Waxed Oxidized Copper Trapdoor           :WAXED_OXIDIZED_COPPER_TRAPDOOR
Copper Grate                             :COPPER_GRATE
Exposed Copper Grate                     :EXPOSED_COPPER_GRATE
Weathered Copper Grate                   :WEATHERED_COPPER_GRATE
Oxidized Copper Grate                    :OXIDIZED_COPPER_GRATE
Waxed Copper Grate                       :WAXED_COPPER_GRATE
Waxed Exposed Copper Grate               :WAXED_EXPOSED_COPPER_GRATE
Waxed Weathered Copper Grate             :WAXED_WEATHERED_COPPER_GRATE
Waxed Oxidized Copper Grate              :WAXED_OXIDIZED_COPPER_GRATE
Copper Bulb                              :COPPER_BULB
Exposed Copper Bulb                      :EXPOSED_COPPER_BULB
Weathered Copper Bulb                    :WEATHERED_COPPER_BULB
Oxidized Copper Bulb                     :OXIDIZED_COPPER_BULB
Waxed Copper Bulb                        :WAXED_COPPER_BULB
Waxed Exposed Copper Bulb                :WAXED_EXPOSED_COPPER_BULB
Waxed Weathered Copper Bulb              :WAXED_WEATHERED_COPPER_BULB
Waxed Oxidized Copper Bulb               :WAXED_OXIDIZED_COPPER_BULB
Cut Copper                               :CUT_COPPER
Exposed Cut Copper                       :EXPOSED_CUT_COPPER
Weathered Cut Copper                     :WEATHERED_CUT_COPPER
Oxidized Cut Copper                      :OXIDIZED_CUT_COPPER
Waxed Cut Copper                         :WAXED_CUT_COPPER
Waxed Exposed Cut Copper                 :WAXED_EXPOSED_CUT_COPPER
Waxed Weathered Cut Copper               :WAXED_WEATHERED_CUT_COPPER
Waxed Oxidized Cut Copper                :WAXED_OXIDIZED_CUT_COPPER
Cut Copper Slab                          :CUT_COPPER_SLAB
Exposed Cut Copper Slab                  :EXPOSED_CUT_COPPER_SLAB
Weathered Cut Copper Slab                :WEATHERED_CUT_COPPER_SLAB
Oxidized Cut Copper Slab                 :OXIDIZED_CUT_COPPER_SLAB
Waxed Cut Copper Slab                    :WAXED_CUT_COPPER_SLAB
Waxed Exposed Cut Copper Slab            :WAXED_EXPOSED_CUT_COPPER_SLAB
Waxed Weathered Cut Copper Slab          :WAXED_WEATHERED_CUT_COPPER_SLAB
Waxed Oxidized Cut Copper Slab           :WAXED_OXIDIZED_CUT_COPPER_SLAB
Cut Copper Stairs                        :CUT_COPPER_STAIRS
Exposed Cut Copper Stairs                :EXPOSED_CUT_COPPER_STAIRS
Weathered Cut Copper Stairs              :WEATHERED_CUT_COPPER_STAIRS
Oxidized Cut Copper Stairs               :OXIDIZED_CUT_COPPER_STAIRS
Waxed Cut Copper Stairs                  :WAXED_CUT_COPPER_STAIRS
Waxed Exposed Cut Copper Stairs          :WAXED_EXPOSED_CUT_COPPER_STAIRS
Waxed Weathered Cut Copper Stairs        :WAXED_WEATHERED_CUT_COPPER_STAIRS
Waxed Oxidized Cut Copper Stairs         :WAXED_OXIDIZED_CUT_COPPER_STAIRS
Chiseled Copper                          :CHISELED_COPPER
Exposed Chiseled Copper                  :EXPOSED_CHISELED_COPPER
Weathered Chiseled Copper                :WEATHERED_CHISELED_COPPER
Oxidized Chiseled Copper                 :OXIDIZED_CHISELED_COPPER
Waxed Chiseled Copper                    :WAXED_CHISELED_COPPER
Waxed Exposed Chiseled Copper            :WAXED_EXPOSED_CHISELED_COPPER
Waxed Weathered Chiseled Copper          :WAXED_WEATHERED_CHISELED_COPPER
Waxed Oxidized Chiseled Copper           :WAXED_OXIDIZED_CHISELED_COPPER

Diamond                                  :DIAMOND
Diamond Ore                              :DIAMOND_ORE
Deepslate Diamond Ore                    :DEEPSLATE_DIAMOND_ORE
Block Of Diamond                         :DIAMOND_BLOCK

Block Of Emerald                         :EMERALD_BLOCK
Emerald                                  :EMERALD
Emerald Ore                              :EMERALD_ORE
Deepslate Emerald Ore                    :DEEPSLATE_EMERALD_ORE

Flint                                    :FLINT
Glowstone                                :GLOWSTONE
Glowstone Dust                           :GLOWSTONE_DUST

Block Of Gold                            :GOLD_BLOCK
Gold Ingot                               :GOLD_INGOT
Gold Nugget                              :GOLD_NUGGET
Block Of Raw Gold                        :RAW_GOLD_BLOCK
Raw Gold                                 :RAW_GOLD
Gold Ore                                 :GOLD_ORE
Deepslate Gold Ore                       :DEEPSLATE_GOLD_ORE
Nether Gold Ore                          :NETHER_GOLD_ORE

Block Of Iron                            :IRON_BLOCK
Iron Ingot                               :IRON_INGOT
Iron Nugget                              :IRON_NUGGET
Block Of Raw Iron                        :RAW_IRON_BLOCK
Raw Iron                                 :RAW_IRON
Iron Ore                                 :IRON_ORE
Deepslate Iron Ore                       :DEEPSLATE_IRON_ORE

Block Of Lapis Lazuli                    :LAPIS_BLOCK
Lapis Lazuli                             :LAPIS_LAZULI
Lapis Lazuli Ore                         :LAPIS_ORE
Deepslate Lapis Lazuli Ore               :DEEPSLATE_LAPIS_ORE

Block Of Netherite                       :NETHERITE_BLOCK
Netherite Ingot                          :NETHERITE_INGOT
Netherite Scrap                          :NETHERITE_SCRAP
Ancient Debris                           :ANCIENT_DEBRIS

Nether Quartz                            :QUARTZ
Nether Quartz Ore                        :NETHER_QUARTZ_ORE
Block Of Quartz                          :QUARTZ_BLOCK
Chiseled Quartz Block                    :CHISELED_QUARTZ_BLOCK
Smooth Quartz Block                      :SMOOTH_QUARTZ
Quartz Bricks                            :QUARTZ_BRICKS
Quartz Pillar                            :QUARTZ_PILLAR
Quartz Slab                              :QUARTZ_SLAB
Smooth Quartz Slab                       :SMOOTH_QUARTZ_SLAB
Quartz Stairs                            :QUARTZ_STAIRS
Smooth Quartz Stairs                     :SMOOTH_QUARTZ_STAIRS

#
# redstone, rail
#

Acacia Button                            :ACACIA_BUTTON
Birch Button                             :BIRCH_BUTTON
Polished Blackstone Button               :POLISHED_BLACKSTONE_BUTTON
Crimson Button                           :CRIMSON_BUTTON
Dark Oak Button                          :DARK_OAK_BUTTON
Mangrove Button                          :MANGROVE_BUTTON
Jungle Button                            :JUNGLE_BUTTON
Oak Button                               :OAK_BUTTON
Pale Oak Button                          :PALE_OAK_BUTTON
Spruce Button                            :SPRUCE_BUTTON
Stone Button                             :STONE_BUTTON
Warped Button                            :WARPED_BUTTON

Daylight Detector                        :DAYLIGHT_DETECTOR
Trapped Chest                            :TRAPPED_CHEST
Dispenser                                :DISPENSER
Dropper                                  :DROPPER
Hopper                                   :HOPPER
Iron Door                                :IRON_DOOR
Iron Trapdoor                            :IRON_TRAPDOOR
Lever                                    :LEVER

Minecart                                 :MINECART
Minecart With Chest                      :CHEST_MINECART
Minecart With Command Block              :COMMAND_BLOCK_MINECART
Minecart With Furnace                    :FURNACE_MINECART
Minecart With Hopper                     :HOPPER_MINECART
Minecart With Tnt                        :TNT_MINECART

Rail                                     :RAIL
Activator Rail                           :ACTIVATOR_RAIL
Detector Rail                            :DETECTOR_RAIL
Powered Rail                             :POWERED_RAIL

Observer                                 :OBSERVER
Piston                                   :PISTON
Piston Head                              :PISTON_HEAD
Moving Piston                            :MOVING_PISTON

Acacia Pressure Plate                    :ACACIA_PRESSURE_PLATE
Birch Pressure Plate                     :BIRCH_PRESSURE_PLATE
Polished Blackstone Pressure Plate       :POLISHED_BLACKSTONE_PRESSURE_PLATE
Crimson Pressure Plate                   :CRIMSON_PRESSURE_PLATE
Dark Oak Pressure Plate                  :DARK_OAK_PRESSURE_PLATE
Light Weighted Pressure Plate            :LIGHT_WEIGHTED_PRESSURE_PLATE
Heavy Weighted Pressure Plate            :HEAVY_WEIGHTED_PRESSURE_PLATE
Mangrove Pressure Plate                  :MANGROVE_PRESSURE_PLATE
Jungle Pressure Plate                    :JUNGLE_PRESSURE_PLATE
Oak Pressure Plate                       :OAK_PRESSURE_PLATE
Pale Oak Pressure Plate                  :PALE_OAK_PRESSURE_PLATE
Spruce Pressure Plate                    :SPRUCE_PRESSURE_PLATE
Stone Pressure Plate                     :STONE_PRESSURE_PLATE
Warped Pressure Plate                    :WARPED_PRESSURE_PLATE

Block Of Redstone                        :REDSTONE_BLOCK
Redstone Dust                            :REDSTONE
Redstone Dust                            :REDSTONE_WIRE
Redstone Ore                             :REDSTONE_ORE
Deepslate Redstone Ore                   :DEEPSLATE_REDSTONE_ORE
Redstone Comparator                      :COMPARATOR
Redstone Lamp                            :REDSTONE_LAMP
Redstone Repeater                        :REPEATER
Redstone Torch                           :REDSTONE_TORCH
Redstone Torch                           :REDSTONE_WALL_TORCH
Sculk Sensor                             :SCULK_SENSOR
Calibrated Sculk Sensor                  :CALIBRATED_SCULK_SENSOR
Slime Block                              :SLIME_BLOCK
Sticky Piston                            :STICKY_PISTON
Target                                   :TARGET
Tripwire                                 :TRIPWIRE
Tripwire Hook                            :TRIPWIRE_HOOK

#
# food
#

Apple                                    :APPLE
Golden Apple                             :GOLDEN_APPLE
Enchanted Golden Apple                   :ENCHANTED_GOLDEN_APPLE
Bowl                                     :BOWL
Bread                                    :BREAD

Cake                                     :CAKE
Candle Cake                              :CANDLE_CAKE
White Candle Cake                        :WHITE_CANDLE_CAKE
Light Gray Candle Cake                   :LIGHT_GRAY_CANDLE_CAKE
Gray Candle Cake                         :GRAY_CANDLE_CAKE
Black Candle Cake                        :BLACK_CANDLE_CAKE
Brown Candle Cake                        :BROWN_CANDLE_CAKE
Red Candle Cake                          :RED_CANDLE_CAKE
Orange Candle Cake                       :ORANGE_CANDLE_CAKE
Yellow Candle Cake                       :YELLOW_CANDLE_CAKE
Lime Candle Cake                         :LIME_CANDLE_CAKE
Green Candle Cake                        :GREEN_CANDLE_CAKE
Cyan Candle Cake                         :CYAN_CANDLE_CAKE
Light Blue Candle Cake                   :LIGHT_BLUE_CANDLE_CAKE
Blue Candle Cake                         :BLUE_CANDLE_CAKE
Purple Candle Cake                       :PURPLE_CANDLE_CAKE
Magenta Candle Cake                      :MAGENTA_CANDLE_CAKE
Pink Candle Cake                         :PINK_CANDLE_CAKE

Carrot                                   :CARROT
Carrots                                  :CARROTS
Raw Chicken                              :CHICKEN
Cooked Chicken                           :COOKED_CHICKEN
Cocoa Beans                              :COCOA
Cocoa Beans                              :COCOA_BEANS
Cookie                                   :COOKIE
Egg                                      :EGG
Blue Egg                                 :BLUE_EGG
Brown Egg                                :BROWN_EGG
Sniffer Egg                              :SNIFFER_EGG
Golden Carrot                            :GOLDEN_CARROT

Melon                                    :MELON
Melon                                    :MELON_STEM
Melon                                    :ATTACHED_MELON_STEM
Melon Seeds                              :MELON_SEEDS
Melon Slice                              :MELON_SLICE

Brown Mushroom                           :BROWN_MUSHROOM
Red Mushroom                             :RED_MUSHROOM
Brown Mushroom Block                     :BROWN_MUSHROOM_BLOCK
Red Mushroom Block                       :RED_MUSHROOM_BLOCK
Mushroom Stem                            :MUSHROOM_STEM
Mushroom Stew                            :MUSHROOM_STEW

Cooked Mutton                            :COOKED_MUTTON
Raw Mutton                               :MUTTON
Cooked Porkchop                          :COOKED_PORKCHOP
Raw Porkchop                             :PORKCHOP

Potato                                   :POTATO
Potatoes                                 :POTATOES
Baked Potato                             :BAKED_POTATO
Poisonous Potato                         :POISONOUS_POTATO

Pumpkin                                  :PUMPKIN
Pumpkin                                  :PUMPKIN_STEM
Pumpkin                                  :ATTACHED_PUMPKIN_STEM
Carved Pumpkin                           :CARVED_PUMPKIN
Pumpkin Pie                              :PUMPKIN_PIE
Pumpkin Seeds                            :PUMPKIN_SEEDS

Raw Rabbit                               :RABBIT
Cooked Rabbit                            :COOKED_RABBIT
Rabbit Stew                              :RABBIT_STEW
Raw Beef                                 :BEEF
Steak                                    :COOKED_BEEF
Suspicious Stew                          :SUSPICIOUS_STEW

#
# armour, weapons, tools
#

Arrow                                    :ARROW
Spectral Arrow                           :SPECTRAL_ARROW
Tipped Arrow                             :TIPPED_ARROW
Bow                                      :BOW

Chainmail Boots                          :CHAINMAIL_BOOTS
Chainmail Chestplate                     :CHAINMAIL_CHESTPLATE
Chainmail Helmet                         :CHAINMAIL_HELMET
Chainmail Leggings                       :CHAINMAIL_LEGGINGS

Crossbow                                 :CROSSBOW

Diamond Axe                              :DIAMOND_AXE
Diamond Boots                            :DIAMOND_BOOTS
Diamond Chestplate                       :DIAMOND_CHESTPLATE
Diamond Helmet                           :DIAMOND_HELMET
Diamond Hoe                              :DIAMOND_HOE
Diamond Leggings                         :DIAMOND_LEGGINGS
Diamond Pickaxe                          :DIAMOND_PICKAXE
Diamond Shovel                           :DIAMOND_SHOVEL
Diamond Sword                            :DIAMOND_SWORD

Elytra                                   :ELYTRA

Golden Axe                               :GOLDEN_AXE
Golden Boots                             :GOLDEN_BOOTS
Golden Chestplate                        :GOLDEN_CHESTPLATE
Golden Helmet                            :GOLDEN_HELMET
Golden Hoe                               :GOLDEN_HOE
Golden Leggings                          :GOLDEN_LEGGINGS
Golden Pickaxe                           :GOLDEN_PICKAXE
Golden Shovel                            :GOLDEN_SHOVEL
Golden Sword                             :GOLDEN_SWORD

Heavy Core                               :HEAVY_CORE
Mace                                     :MACE

Diamond Horse Armor                      :DIAMOND_HORSE_ARMOR
Golden Horse Armor                       :GOLDEN_HORSE_ARMOR
Iron Horse Armor                         :IRON_HORSE_ARMOR
Leather Horse Armor                      :LEATHER_HORSE_ARMOR

Iron Axe                                 :IRON_AXE
Iron Boots                               :IRON_BOOTS
Iron Chestplate                          :IRON_CHESTPLATE
Iron Helmet                              :IRON_HELMET
Iron Hoe                                 :IRON_HOE
Iron Leggings                            :IRON_LEGGINGS
Iron Pickaxe                             :IRON_PICKAXE
Iron Shovel                              :IRON_SHOVEL
Iron Sword                               :IRON_SWORD

Leather Boots                            :LEATHER_BOOTS
Leather Cap                              :LEATHER_HELMET
Leather Pants                            :LEATHER_LEGGINGS
Leather Tunic                            :LEATHER_CHESTPLATE

Netherite Axe                            :NETHERITE_AXE
Netherite Boots                          :NETHERITE_BOOTS
Netherite Chestplate                     :NETHERITE_CHESTPLATE
Netherite Helmet                         :NETHERITE_HELMET
Netherite Hoe                            :NETHERITE_HOE
Netherite Leggings                       :NETHERITE_LEGGINGS
Netherite Pickaxe                        :NETHERITE_PICKAXE
Netherite Shovel                         :NETHERITE_SHOVEL
Netherite Sword                          :NETHERITE_SWORD

Shield                                   :SHIELD

Stone Axe                                :STONE_AXE
Stone Hoe                                :STONE_HOE
Stone Pickaxe                            :STONE_PICKAXE
Stone Shovel                             :STONE_SHOVEL
Stone Sword                              :STONE_SWORD

Trident                                  :TRIDENT
Wolf Armor                               :WOLF_ARMOR

Wooden Axe                               :WOODEN_AXE
Wooden Hoe                               :WOODEN_HOE
Wooden Pickaxe                           :WOODEN_PICKAXE
Wooden Shovel                            :WOODEN_SHOVEL
Wooden Sword                             :WOODEN_SWORD

Bolt Armor Trim Smithing Template        :BOLT_ARMOR_TRIM_SMITHING_TEMPLATE
Coast Armor Trim Smithing Template       :COAST_ARMOR_TRIM_SMITHING_TEMPLATE
Dune Armor Trim Smithing Template        :DUNE_ARMOR_TRIM_SMITHING_TEMPLATE
Eye Armor Trim Smithing Template         :EYE_ARMOR_TRIM_SMITHING_TEMPLATE
Flow Armor Trim Smithing Template        :FLOW_ARMOR_TRIM_SMITHING_TEMPLATE
Host Armor Trim Smithing Template        :HOST_ARMOR_TRIM_SMITHING_TEMPLATE
Netherite Upgrade Smithing Template      :NETHERITE_UPGRADE_SMITHING_TEMPLATE
Raiser Armor Trim Smithing Template      :RAISER_ARMOR_TRIM_SMITHING_TEMPLATE
Rib Armor Trim Smithing Template         :RIB_ARMOR_TRIM_SMITHING_TEMPLATE
Sentry Armor Trim Smithing Template      :SENTRY_ARMOR_TRIM_SMITHING_TEMPLATE
Shaper Armor Trim Smithing Template      :SHAPER_ARMOR_TRIM_SMITHING_TEMPLATE
Silence Armor Trim Smithing Template     :SILENCE_ARMOR_TRIM_SMITHING_TEMPLATE
Snout Armor Trim Smithing Template       :SNOUT_ARMOR_TRIM_SMITHING_TEMPLATE
Spire Armor Trim Smithing Template       :SPIRE_ARMOR_TRIM_SMITHING_TEMPLATE
Tide Armor Trim Smithing Template        :TIDE_ARMOR_TRIM_SMITHING_TEMPLATE
Vex Armor Trim Smithing Template         :VEX_ARMOR_TRIM_SMITHING_TEMPLATE
Ward Armor Trim Smithing Template        :WARD_ARMOR_TRIM_SMITHING_TEMPLATE
Wayfinder Armor Trim Smithing Template   :WAYFINDER_ARMOR_TRIM_SMITHING_TEMPLATE
Wild Armor Trim Smithing Template        :WILD_ARMOR_TRIM_SMITHING_TEMPLATE

#
# enchantments, potions, and ingredients
#

Bottle O' Enchanting                     :EXPERIENCE_BOTTLE
Dragon's Breath                          :DRAGON_BREATH
Enchanted Book                           :ENCHANTED_BOOK
Glistering Melon Slice                   :GLISTERING_MELON_SLICE
Ominous Trial Key                        :OMINOUS_TRIAL_KEY
Ominous Bottle                           :OMINOUS_BOTTLE
Potion                                   :POTION
Splash Potion                            :SPLASH_POTION
Lingering Potion                         :LINGERING_POTION

#
# storage
#

Barrel                                   :BARREL

Shulker Box                              :SHULKER_BOX
White Shulker Box                        :WHITE_SHULKER_BOX
Light Gray Shulker Box                   :LIGHT_GRAY_SHULKER_BOX
Gray Shulker Box                         :GRAY_SHULKER_BOX
Black Shulker Box                        :BLACK_SHULKER_BOX
Brown Shulker Box                        :BROWN_SHULKER_BOX
Red Shulker Box                          :RED_SHULKER_BOX
Orange Shulker Box                       :ORANGE_SHULKER_BOX
Yellow Shulker Box                       :YELLOW_SHULKER_BOX
Lime Shulker Box                         :LIME_SHULKER_BOX
Green Shulker Box                        :GREEN_SHULKER_BOX
Cyan Shulker Box                         :CYAN_SHULKER_BOX
Light Blue Shulker Box                   :LIGHT_BLUE_SHULKER_BOX
Blue Shulker Box                         :BLUE_SHULKER_BOX
Purple Shulker Box                       :PURPLE_SHULKER_BOX
Magenta Shulker Box                      :MAGENTA_SHULKER_BOX
Pink Shulker Box                         :PINK_SHULKER_BOX

Bundle                                   :BUNDLE
White Bundle                             :WHITE_BUNDLE
